Date,AAPL,BA,DIS,IBM,KO,MSFT
2009-12-31,100.0,100.0,100.0,100.0,100.0,100.0
2010-01-04,101.55649167766774,103.78717752929822,99.44185951883479,101.18411239421721,100.0701770447848,101.54199877874616
2010-01-05,101.73206948400451,107.18640183426822,99.19379773990129,99.96181222666192,98.85964644582648,101.57480167140814
2010-01-06,100.11388608071967,110.43783040771034,98.66666572038517,99.31245688430201,98.82456461588541,100.95144658754174
2010-01-07,99.92881723967258,114.90855262439258,98.69767418203426,98.96868532645298,98.57894495913855,99.90157880660297
2010-01-08,100.59317699778678,113.80010577979833,98.85271057602047,99.96181222666192,96.7543886418928,100.59055219120445
2010-01-11,99.7057842597842,112.45150144240377,97.24031197008235,98.91520379285255,98.71929904870821,99.31102661539853
2010-01-12,98.57163095511741,111.63864606086533,95.56589052658673,99.70206309562028,99.78947555809688,98.65485612345903
2010-01-13,99.96203586115871,112.9872503982599,97.02325865279796,99.48816027487737,100.05262943736295,99.57349356063324
2010-01-14,99.38309541543742,113.72621496132275,96.18604793105014,101.07716098384576,100.22807204932495,101.57480167140814
2010-01-15,97.72220235595613,112.359132633843,94.88372211308443,100.67227266909455,98.7543875711006,101.24672268314394
2010-01-19,102.04526729364093,112.0450772752787,96.15503946940105,102.47517619880581,98.98245292797424,102.03412351884805
2010-01-20,100.47453906390776,111.21374390365513,96.71317995056624,99.50344237831028,97.36842105263158,100.36089439633729
2010-01-21,98.73771772674385,109.3663395432864,94.91473057473353,98.54851490826891,95.38596303839434,98.45800747895942
2010-01-22,93.8404578606929,106.72455074417604,92.96123889065528,95.8747179921531,95.1578976815207,95.01312178283534
2010-01-25,96.36501607140097,106.74302168697287,92.77519403501998,96.34836411552293,95.35087451600192,96.19422616524422
2010-01-26,97.72694787331129,106.61370394553012,91.96899177492128,96.06570348616135,94.98245506955865,96.78477835644867
2010-01-27,98.64755923279999,114.40975260141842,90.91472773588904,96.5087912310801,95.63157600268983,97.34252139728558
2010-01-28,94.57124852597514,115.57361932169148,91.00775312083638,94.53781953409518,95.05263211434347,95.66929227477485
2010-01-29,91.14032184364807,111.95270141942959,91.62790461104046,93.498857980417,95.17543859649122,92.45407063122353
2010-02-01,92.40734329845516,113.9848504442082,91.53488514035247,95.24064475322609,95.4035106458162,93.20866231656005
2010-02-02,92.94357408798,114.42822354421523,92.96123889065528,95.89763531888772,96.57894602993078,93.37270181069213
2010-02-03,94.54277542184417,113.54147029691283,95.34883720930233,95.99695150595745,96.26315602085049,93.93044485152905
2010-02-04,91.1355763262929,109.5880260932899,92.00000023657037,93.96486305207036,93.73684264065926,91.33858454954971
2010-02-05,92.75375972957774,107.88841746444908,91.59690206365067,94.36211031510508,93.14035114489103,91.92913674075415
2010-02-08,92.1178730755945,106.94623729417955,91.41085129375605,93.10924594068398,92.3684237296121,90.94488100284487
2010-02-09,93.10017616070031,110.36393958923472,92.52713225608649,94.12529016762754,94.75438302023369,91.89632759038663
2010-02-10,92.59241847530646,109.9944573077033,93.11628119890081,93.81971221153137,94.36842265881991,91.83070928965155
2010-02-11,94.27703278575935,111.9342304766328,93.5193793718205,94.522543259077,95.12280915912828,92.2572219867239
2010-02-12,95.08849724607934,110.19767291490999,93.2403091312379,94.72880502810345,94.70175358287075,91.63386064515193
2010-02-16,96.52161180831709,113.17198801538142,94.4806180259054,95.66845622312664,96.17543806109512,93.01181367206046
2010-02-17,96.11825550473678,114.20653699421173,95.68992437318313,96.5087912310801,97.07017865097313,93.79921450776449
2010-02-18,96.2985788284287,116.1832590960232,96.18604793105014,97.63942209169683,98.08771903054755,95.04593093320285
2010-02-19,95.70065631328679,117.47644355773899,96.83720788290334,97.16578179674173,97.7543881064967,94.38976669896894
2010-02-22,95.10747931549999,118.17845918791986,96.49612663328185,96.90603849411482,97.15789661072847,94.2585300974988
2010-02-23,93.51302349899098,115.96157254601968,95.87596922881843,96.60810158973509,96.192985668517,92.94619537132536
2010-02-24,95.22137173202387,117.27322795053227,97.33333144077037,97.47135392442317,96.77192955686334,93.93044485152905
2010-02-25,95.85725838600709,116.14631016314124,97.24031197008235,97.07410666138846,93.192980582254,93.83202365813204
2010-02-26,97.10055225403838,116.68205911899736,96.86821634455245,97.1428644700071,92.49123021175986,94.0616814529992
2010-03-01,99.1742989876145,118.23387906359861,97.79845245124757,98.22002545385284,93.45614115397136,95.20997668504054
2010-03-02,99.10786174464225,119.04674149242543,98.85271057602047,97.34148518731709,93.50877059133428,93.37270181069213
2010-03-03,99.3356402418858,119.06520538793386,98.10852523921997,96.92895582084944,94.61403562311541,93.37270181069213
2010-03-04,99.99050896528968,121.09736146000083,100.992247115734,96.80672813545982,95.56140565035635,93.93044485152905
2010-03-05,103.90072656468388,125.4941787636308,103.00775572311048,97.211616450211,95.96491361919203,93.79921450776449
2010-03-08,103.96241195449676,124.21946524471181,102.91472442390383,96.56990798798228,95.54385804293449,93.93044485152905
2010-03-09,105.83210777760516,125.2355432807453,103.28682596369308,95.91291742232063,95.05263211434347,94.48818789236597
2010-03-10,106.69576659302773,129.33678321589616,103.3488428869913,95.96639312750638,95.0877206367359,95.04593093320285
2010-03-11,107.0089707384684,129.44762296725375,104.8372135605923,97.47899497613963,94.03508504231772,95.73491057550993
2010-03-12,107.53096497592776,129.00424986724673,104.46511202080305,97.73873827876653,93.59648855108965,96.03018667111213
2010-03-15,106.22122752912,128.20986542850508,104.5581433200097,97.65470419512972,94.12280969452439,96.09580497184722
2010-03-16,106.51069775198062,126.95362989967127,104.65116279069768,98.29641265735843,94.21052765427976,96.3582719170819
