Date,AAPL,BA,DIS,IBM,KO,MSFT
2009-12-31,7.526071548461914,54.13000106811523,32.25,130.89999389648438,28.5,30.479999542236328
2010-01-04,7.643214225769043,56.18000030517578,32.06999969482422,132.44999694824222,28.520000457763672,30.95000076293945
2010-01-05,7.656428337097168,58.02000045776367,31.989999771118164,130.85000610351562,28.17499923706055,30.959999084472656
2010-01-06,7.534642696380615,59.77999877929688,31.81999969482422,130.0,28.165000915527344,30.770000457763672
2010-01-07,7.520714282989503,62.20000076293945,31.82999992370605,129.55000305175778,28.09499931335449,30.45000076293945
2010-01-08,7.570714473724365,61.599998474121094,31.8799991607666,130.85000610351562,27.57500076293945,30.65999984741211
2010-01-11,7.5039286613464355,60.86999893188477,31.36000061035156,129.47999572753906,28.13500022888184,30.270000457763672
2010-01-12,7.418571472167969,60.43000030517578,30.81999969482422,130.50999450683594,28.440000534057614,30.06999969482422
2010-01-13,7.523214340209961,61.15999984741211,31.290000915527344,130.22999572753906,28.51499938964844,30.35000038146973
2010-01-14,7.479642868041992,61.56000137329102,31.020000457763672,132.30999755859378,28.565000534057614,30.959999084472656
2010-01-15,7.354642868041992,60.81999969482422,30.60000038146973,131.77999877929688,28.145000457763672,30.86000061035156
2010-01-19,7.679999828338622,60.6500015258789,31.01000022888184,134.13999938964844,28.209999084472656,31.10000038146973
2010-01-20,7.561785697937013,60.20000076293945,31.190000534057614,130.25,27.75,30.59000015258789
2010-01-21,7.4310712814331055,59.20000076293945,30.61000061035156,129.0,27.184999465942386,30.01000022888184
2010-01-22,7.0625,57.77000045776367,29.979999542236328,125.5,27.1200008392334,28.959999084472656
2010-01-25,7.252500057220459,57.77999877929688,29.920000076293945,126.12000274658205,27.17499923706055,29.31999969482422
2010-01-26,7.355000019073486,57.709999084472656,29.65999984741211,125.75,27.06999969482422,29.5
2010-01-27,7.424285888671875,61.93000030517578,29.31999969482422,126.33000183105469,27.2549991607666,29.670000076293945
2010-01-28,7.117499828338622,62.56000137329102,29.35000038146973,123.75,27.09000015258789,29.15999984741211
2010-01-29,6.859285831451416,60.599998474121094,29.54999923706055,122.38999938964844,27.125,28.18000030517578
2010-02-01,6.9546427726745605,61.70000076293945,29.520000457763672,124.66999816894531,27.190000534057614,28.40999984741211
2010-02-02,6.994999885559082,61.93999862670898,29.979999542236328,125.52999877929688,27.524999618530273,28.459999084472656
2010-02-03,7.115356922149657,61.459999084472656,30.75,125.66000366210938,27.434999465942386,28.6299991607666
2010-02-04,6.858928680419923,59.31999969482422,29.670000076293945,123.0,26.71500015258789,27.84000015258789
2010-02-05,6.980714321136475,58.4000015258789,29.540000915527344,123.5199966430664,26.545000076293945,28.020000457763672
2010-02-08,6.932857036590576,57.88999938964844,29.479999542236328,121.87999725341795,26.32500076293945,27.71999931335449
2010-02-09,7.006785869598389,59.7400016784668,29.84000015258789,123.20999908447266,27.0049991607666,28.01000022888184
2010-02-10,6.968571662902832,59.540000915527344,30.03000068664551,122.80999755859376,26.895000457763672,27.989999771118164
2010-02-11,7.0953569412231445,60.59000015258789,30.15999984741211,123.7300033569336,27.11000061035156,28.1200008392334
2010-02-12,7.156428337097168,59.6500015258789,30.06999969482422,124.0,26.989999771118164,27.93000030517578
2010-02-16,7.264285564422607,61.2599983215332,30.46999931335449,125.2300033569336,27.40999984741211,28.35000038146973
2010-02-17,7.233928680419923,61.81999969482422,30.86000061035156,126.33000183105469,27.665000915527344,28.59000015258789
2010-02-18,7.247499942779541,62.88999938964844,31.020000457763672,127.80999755859376,27.95499992370605,28.96999931335449
